"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Sep 22 08:51:30 UTC 2026","Tue Sep 22 08:51:30 UTC 2026","0","tests","test_sleekflow_login_smoke","TestSleekFlowLoginSmoke","","","test_successful_login[chromium]","Verify a provisioned account can complete the login flow."
"passed","Tue Sep 22 08:51:44 UTC 2026","Tue Sep 22 08:51:47 UTC 2026","2590","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_negative_login_scenarios[chromium-Alphabetic identifier]","Verify validation and authentication errors for invalid login data."
"passed","Tue Sep 22 08:51:35 UTC 2026","Tue Sep 22 08:51:37 UTC 2026","1782","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_elements_are_visible_and_interactive[chromium]","Fill signup data and accept terms without creating an account."
"skipped","Tue Sep 22 08:51:32 UTC 2026","Tue Sep 22 08:51:32 UTC 2026","0","tests","test_sleekflow_signup","TestSleekFlowSignup","","","test_signup_reaches_verification_and_enters_otp[chromium-Gmail signup]","Reach verification and enter the locally supplied OTP without claiming provider success."
"passed","Tue Sep 22 08:51:21 UTC 2026","Tue Sep 22 08:51:24 UTC 2026","2557","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_text_elements_are_visible[chromium]","Verify the main login-page text elements are displayed."
"passed","Tue Sep 22 08:51:24 UTC 2026","Tue Sep 22 08:51:26 UTC 2026","2554","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_language_dropdown_is_interactive[chromium]","Verify the language selector opens and exposes English."
"skipped","Tue Sep 22 08:51:04 UTC 2026","Tue Sep 22 08:51:04 UTC 2026","1","tests","test_api","","","","test_api_placeholder","Placeholder for future API tests"
"passed","Tue Sep 22 08:51:19 UTC 2026","Tue Sep 22 08:51:21 UTC 2026","1873","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_buttons_are_visible_and_enabled[chromium]","Verify configured login buttons are visible, enabled, and labeled."
"skipped","Tue Sep 22 08:51:04 UTC 2026","Tue Sep 22 08:51:04 UTC 2026","0","tests","test_sleekflow_login","TestSleekFlowLogin","","","test_login_with_signup_account[chromium-Provisioned SleekFlow account]","Log in with each configured account and verify authenticated content."
"passed","Tue Sep 22 08:51:54 UTC 2026","Tue Sep 22 08:51:56 UTC 2026","2365","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_negative_login_scenarios[chromium-Empty email]","Verify validation and authentication errors for invalid login data."
"passed","Tue Sep 22 08:51:33 UTC 2026","Tue Sep 22 08:51:35 UTC 2026","2425","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_to_login_navigation[chromium]","Navigate from signup to login using the visible auth link."
"passed","Tue Sep 22 08:51:11 UTC 2026","Tue Sep 22 08:51:13 UTC 2026","2292","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_login_elements_are_visible[chromium]","Verify login inputs and social login controls are available."
"passed","Tue Sep 22 08:51:42 UTC 2026","Tue Sep 22 08:51:44 UTC 2026","1823","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_email_formats[chromium-Missing domain]","Verify malformed email addresses are rejected on the signup screen."
"passed","Tue Sep 22 08:51:08 UTC 2026","Tue Sep 22 08:51:11 UTC 2026","2184","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_negative_login_scenarios[chromium-Invalid email format]","Verify validation and authentication errors for invalid login data."
"skipped","Tue Sep 22 08:51:44 UTC 2026","Tue Sep 22 08:51:44 UTC 2026","1","tests","test_sleekflow_signup","TestSleekFlowSignupRegression","","","test_signup_rejects_invalid_password_formats[chromium-Short password without uppercase letter]","Verify weak password formats are rejected by the password step."
"failed","Tue Sep 22 08:51:39 UTC 2026","Tue Sep 22 08:51:42 UTC 2026","2688","tests","test_sleekflow_login","TestSleekFlowLoginRegression","","","test_negative_login_scenarios[chromium-Numeric identifier]","Verify validation and authentication errors for invalid login data."
